epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.544,1.90837,1.64375,0.89405,0.93386,0.80372,0.86348,0.39428,1.8522,1.02337,0.8752,0.00333017,0.00333017,0.00333017
2,230.801,1.94065,1.15014,0.8914,0.92596,0.78036,0.83214,0.38538,1.83352,1.10075,0.87722,0.00653157,0.00653157,0.00653157
3,330.401,1.99141,1.20225,0.90367,0.89464,0.66063,0.74356,0.3394,1.95036,1.34197,0.89809,0.00960097,0.00960097,0.00960097
4,429.415,1.96115,1.18739,0.8999,0.85101,0.75868,0.78266,0.34541,1.86583,1.20341,0.88858,0.009406,0.009406,0.009406
5,526.634,1.88271,1.12442,0.8859,0.92614,0.79602,0.83917,0.38546,1.73979,1.03782,0.86318,0.009208,0.009208,0.009208
6,624.392,1.82274,1.09285,0.87861,0.91587,0.77372,0.83966,0.41359,1.70969,1.03747,0.86643,0.00901,0.00901,0.00901
7,722.837,1.79645,1.05538,0.87347,0.91828,0.82685,0.87411,0.43007,1.68918,0.95256,0.85931,0.008812,0.008812,0.008812
8,819.594,1.76405,1.02796,0.86832,0.94242,0.85412,0.89572,0.45545,1.63513,0.91225,0.854,0.008614,0.008614,0.008614
9,917.234,1.75805,1.02297,0.87213,0.91921,0.84772,0.88781,0.4439,1.63935,0.88458,0.85981,0.008416,0.008416,0.008416
10,1013.7,1.73657,1.00361,0.86599,0.94937,0.85385,0.89783,0.45665,1.58728,0.8767,0.84997,0.008218,0.008218,0.008218
11,1109.84,1.71752,0.98198,0.86361,0.94038,0.86528,0.90313,0.4616,1.59208,0.86513,0.84844,0.00802,0.00802,0.00802
12,1206.18,1.69502,0.976,0.85961,0.93603,0.8676,0.90444,0.45724,1.64411,0.86388,0.85066,0.007822,0.007822,0.007822
13,1302.33,1.68145,0.95797,0.85972,0.95783,0.86203,0.90811,0.47755,1.56477,0.85007,0.84578,0.007624,0.007624,0.007624
